date,year,month,snowmelt_sum,runoff_sum,surface_runoff_sum,sub_surface_runoff_sum,total_evaporation_sum,snow_depth_water_equivalent
2008-01,2008,1,0.01713684050072282,0.003670453885133161,0.0019018328033429683,0.0017686243705502672,-0.009746624907069344,0.01246140172713067
2008-02,2008,2,0.04441677319206555,0.01137045600077619,0.007707116210898788,0.003663336768732639,-0.01865509074113366,0.05247996772743512
2008-03,2008,3,0.06152930840029501,0.034435479832232184,0.019058578245303742,0.015376893973263377,-0.058805258696164694,0.030663727385232
2008-04,2008,4,0.007805465362770175,0.02062023338444208,0.002392630825246495,0.018227594332154356,-0.08199140657744615,0.0015583749712608495
2008-05,2008,5,3.5283991609242906E-5,0.0117754669536588,3.6318563726083126E-4,0.01141227329503422,-0.07435135161538337,1.3708074965392143E-6
2008-06,2008,6,1.522434718870387E-9,0.006039301178741186,3.276400559598307E-5,0.006006497719524474,-0.05178078433009885,-7.345364920210326E-25
2008-07,2008,7,2.255962572296731E-9,0.003454402224492159,3.147903548368962E-5,0.003422886508779132,-0.04108345555844863,-7.345364920210326E-25
2008-08,2008,8,4.776400400968802E-9,0.0020569481955836806,2.6007909609952478E-5,0.002030922890673935,-0.030249148615305126,-7.345364920210326E-25
2008-09,2008,9,3.1892743981158793E-9,0.001625789737269379,2.942700239945116E-4,0.0013314810523841931,-0.026977722626897845,-7.345364920210326E-25
2008-10,2008,10,4.772239929339007E-5,0.0024576243931040205,0.0014044095263121773,0.0010532068234260555,-0.030158292188278434,2.6246371451580993E-6
2008-11,2008,11,7.85531046271005E-4,0.001851998761265659,9.921930636634406E-4,8.59794084461412E-4,-0.02718864847044549,7.715242203894396E-5
2008-12,2008,12,0.007878510094981117,0.0033766771426026135,0.0024548653666053894,9.217932978535608E-4,-0.015755724578506415,0.004854071998632012
2009-01,2009,1,0.020535968148041872,0.0028114938432125393,0.0019760824750292183,8.354129553355739E-4,-0.014377821594057299,0.03030364539711386
2009-02,2009,2,0.02907837244182412,0.009154061055233236,0.007157044407868897,0.001997015445238115,-0.025793842101758675,0.025347987915446436
2009-03,2009,3,0.04665794995818981,0.02809708274998079,0.01715154219142617,0.010945551354530694,-0.047409461211789766,0.0343929214577365
2009-04,2009,4,0.029600380529194985,0.04186609004203346,0.013703655563532103,0.028162435401742,-0.07828698624470101,0.014639844398582824
2009-05,2009,5,0.004130821199016228,0.024509958832571142,0.0016784322102490654,0.02283151678030958,-0.09636206544060737,6.352253153152171E-4
2009-06,2009,6,3.2672809181561994E-9,0.01036993297691947,2.785930525457481E-4,0.010091332295405932,-0.06814855981014463,-7.345364920210326E-25
2009-07,2009,7,6.59563436175937E-9,0.005377658536517304,5.2022047441544135E-6,0.005372426965894799,-0.046244426613117284,-7.345364920210326E-25
2009-08,2009,8,2.198728287298348E-9,0.0030050952398115688,1.1564656071705492E-5,0.0029934917270219453,-0.03182429044674489,-7.345364920210326E-25
2009-09,2009,9,3.367035672052165E-9,0.0020900893620812975,2.3353774397919812E-4,0.001856533387812318,-0.02703914138173539,-7.345364920210326E-25
2009-10,2009,10,2.4621614579134004E-7,0.007766971903511852,0.005908577823642662,0.0018583698822526539,-0.020791074067254826,9.153350882311607E-9
2009-11,2009,11,0.0031700128885656016,0.014952229075008329,0.012075546819713817,0.0028766814243459064,-0.03233396552036797,4.1960599441933E-4
2009-12,2009,12,0.015165637425165922,0.02604030707821505,0.01669104187694816,0.009349265230161283,-0.019295224254645412,0.004856800654438563
2010-01,2010,1,0.019280757707708637,0.03713538308519016,0.01376866707104402,0.02336671142920922,-0.02219072245607452,0.014060523634916564
2010-02,2010,2,0.029616997333175563,0.06319543676991367,0.012468786117507668,0.0507266573443331,-0.026875034285497625,0.02160741861308801
2010-03,2010,3,0.030016534280595142,0.10560713806709937,0.01762022202463666,0.08798691513324933,-0.05635406860382198,0.012468544777651596
2010-04,2010,4,0.0056818265394860635,0.06324695782976283,0.013537205996336395,0.049709759249577525,-0.08227434584082516,0.0014369190250684831
2010-05,2010,5,4.326898592714763E-5,0.05593266836180216,0.009462781347301118,0.04646987412614002,-0.10877176742457191,1.5061095982136113E-6
2010-06,2010,6,5.400383440198089E-9,0.02187815390627651,8.608996816876221E-5,0.021792022179407147,-0.08040319346403939,-7.345364920210326E-25
2010-07,2010,7,6.078908856913556E-9,0.010659683010299206,2.209871564456392E-6,0.01065741914003503,-0.05602705246471196,-7.345364920210326E-25
2010-08,2010,8,3.86415233064664E-9,0.005588790818372834,4.35304392259323E-5,0.005545222323092718,-0.03992941177986733,-7.345364920210326E-25
2010-09,2010,9,3.317542725080704E-9,0.0032815955288819673,4.0948951238321844E-5,0.003240607081379663,-0.02707892529121994,-7.345364920210326E-25
2010-10,2010,10,1.1125262071622935E-5,0.002584559589009851,2.626997885685322E-4,0.0023218359798655303,-0.023169301503571046,5.323450806254126E-7
2010-11,2010,11,1.9241653733455507E-6,0.0017302299444573164,7.964811945216916E-6,0.001722236407768709,-0.014902981026225162,1.2809078789076761E-7
2010-12,2010,12,0.009544639853455026,0.004137894069302071,0.002684890198901801,0.0014529993227727284,-0.015602438855612192,0.004119424044517109
2011-01,2011,1,0.024454002885712662,0.0120794430740301,0.008422464113180376,0.003656972781259709,-0.015928337186631763,0.012307028403508698
2011-02,2011,2,0.037930810918731045,0.017732501903242336,0.011365819072477346,0.00636668021487005,-0.021559396621008114,0.03852232149460105
2011-03,2011,3,0.034225090496430084,0.04423572433473777,0.01683979091600796,0.027395923536631773,-0.054244365387999774,0.03640086546338688
2011-04,2011,4,0.025080507961563546,0.10462037321561388,0.044427442488213946,0.06019292944867103,-0.07761774014538107,0.00871971932039529
2011-05,2011,5,8.916883259357976E-4,0.07609579165040344,0.009151643936551917,0.06694414534777465,-0.10875035981398062,9.1866643006255E-5
2011-06,2011,6,7.054224089945581E-9,0.026571597676595272,8.76219773664251E-5,0.02648394473301135,-0.08396222253091688,-7.345364920210326E-25
2011-07,2011,7,5.442661760850086E-9,0.012084654285742813,7.475586924696408E-5,0.012009863550632396,-0.05821564501592813,-7.345364920210326E-25
2011-08,2011,8,6.151751043842543E-9,0.006085494741378855,1.1139415320370178E-5,0.006074322452485753,-0.03946825228696502,-7.345364920210326E-25
2011-09,2011,9,2.7954933251192836E-9,0.003540861600685802,4.613051618793738E-5,0.0034946909559509277,-0.025551631631745994,-7.345364920210326E-25
2011-10,2011,10,3.4441665346463294E-4,0.0031111821947388944,6.080198780536931E-4,0.0025031430113164484,-0.0258034452989831,2.6832775170107695E-5
2011-11,2011,11,0.00502235275183442,0.003920898931769674,0.0019209056759664513,0.00199998762737314,-0.026813648551927572,8.017062977790617E-4
2011-12,2011,12,0.009925193174661987,0.0037047017712264507,0.0019096254870539073,0.001795061585156436,-0.01557986105715895,0.002529626726659766
2012-01,2012,1,0.025694001077604205,0.0074208027132923815,0.0046241290372933215,0.0027966722159389434,-0.01504720847689482,0.014596932107308041
2012-02,2012,2,0.03950888014279213,0.017396322459145335,0.007558532133400881,0.009837792685092389,-0.0175791889962552,0.08158391908315998
2012-03,2012,3,0.08162195776083091,0.05288286545634779,0.016044934494916424,0.03683792872468903,-0.0318401380441358,0.13645831670646255
2012-04,2012,4,0.11443177916417015,0.11818300385892068,0.034777589134845764,0.08340540712835945,-0.0743887238795899,0.04503852457968451
2012-05,2012,5,0.0023360971258318407,0.042601341762938685,0.002019851197018485,0.04058148705768084,-0.09667495276115072,1.5209940853773814E-4
2012-06,2012,6,4.6042148204164455E-9,0.015083051968531942,1.0183266797374509E-4,0.014981180011114417,-0.06370677636762467,-7.345364920210326E-25
2012-07,2012,7,5.814864485275473E-9,0.0074504539610108535,2.8682479873292698E-5,0.007421731488460268,-0.04689356921166433,-7.345364920210326E-25
2012-08,2012,8,5.16196100108742E-9,0.0040057764933617065,9.326943448306067E-6,0.003996410047542528,-0.034809474437518494,-7.345364920210326E-25
2012-09,2012,9,2.776704730802668E-9,0.002454618181165536,4.2833094464990505E-5,0.0024117494116768215,-0.023781362108094537,-7.345364920210326E-25
2012-10,2012,10,4.125702283610449E-9,0.0031948859842110024,0.0014233592466818218,0.0017715086326609588,-0.026921743178034592,-7.345364920210326E-25
2012-11,2012,11,9.36444276143513E-4,0.004134506014129968,0.0027151473942912175,0.0014193593463229853,-0.029347210678818896,9.069547172025113E-5
2012-12,2012,12,0.017117772992017374,0.022853483629838373,0.016504534475287977,0.0063489435964012115,-0.01890637734919958,0.009792144721552112
2013-01,2013,1,0.04876011271420336,0.08173564510690987,0.05019565051024135,0.03153999552624691,-0.012549508157213791,0.07214252640794545
2013-02,2013,2,0.053118559919015935,0.09523114580649726,0.013395440026077236,0.08183570769545288,-0.024227248130844228,0.08539002361541713
2013-03,2013,3,0.04766577097896782,0.10079785282536725,0.01677338317554228,0.08402447070541884,-0.05419550609273405,0.057991261570278695
2013-04,2013,4,0.03805136755486612,0.07913459582628694,0.013418757418570026,0.06571581876764578,-0.0831705894018255,0.014230790752073499
2013-05,2013,5,0.0013053163702441521,0.030949328722671563,0.003194633413102408,0.027754685993263965,-0.09805136508285746,1.859906492302399E-4
2013-06,2013,6,3.4839926014065918E-9,0.012930920783682846,3.755036512654925E-5,0.012893340815003701,-0.07303207298771702,-7.345364920210326E-25
2013-07,2013,7,4.776092497916971E-9,0.006738693365484279,9.427065529645173E-7,0.006737711036040191,-0.04914483347097641,-7.345364920210326E-25
2013-08,2013,8,5.375100829401249E-9,0.0037155566613663433,1.5457262221582363E-5,0.0037000513969324043,-0.034752278492795746,-7.345364920210326E-25
2013-09,2013,9,1.3988491215553582E-9,0.0022941791356028956,2.5892199045221615E-5,0.0022682526498328964,-0.022705580353528154,-7.345364920210326E-25
2013-10,2013,10,6.392288776694875E-6,0.001781995897138775,8.404490477746646E-5,0.0016979256485783489,-0.016729754412428206,3.4538613180199466E-7
2013-11,2013,11,8.19395109339189E-4,0.005084374741243946,0.003735172152310954,0.001349195450391932,-0.025276488280793787,7.526655955159537E-5
2013-12,2013,12,0.02002408317156429,0.009735397923953705,0.006864286032419003,0.002871106109054349,-0.015151972109300561,0.030337659748045514
2014-01,2014,1,0.029941794486258298,0.021313339177438374,0.014169986999751322,0.007143354874988674,-0.016924177819187477,0.03388103080449051
2014-02,2014,2,0.021764310825336152,0.009273777593318414,0.0040481166451584285,0.005225656408791958,-0.02805039589605349,0.027125699626332715
2014-03,2014,3,0.025811690437825944,0.06240687759612731,0.0312989794557377,0.031107896329321823,-0.0565820960000797,0.008219184927885018
2014-04,2014,4,0.006871960892420954,0.038550560919602045,0.0036898909217553794,0.034860660383661826,-0.08703889886013304,0.001838718307322349
2014-05,2014,5,4.507624174781337E-6,0.022372766827409428,7.71884435711752E-4,0.02160087408800214,-0.0988192319820591,2.0902273044080792E-7
2014-06,2014,6,3.6091394826367734E-9,0.011231161613592885,8.865024270523423E-5,0.011142477015829934,-0.06665600928154755,-7.345364920210326E-25
2014-07,2014,7,7.705222255686082E-9,0.006072964532286692,1.2973294447448412E-5,0.006059961304397736,-0.04777970051444678,-7.345364920210326E-25
2014-08,2014,8,4.143437005673858E-9,0.0034319604829822566,1.3054069282534625E-5,0.0034188734450621336,-0.03476760207284763,-7.345364920210326E-25
2014-09,2014,9,3.4465888887639275E-9,0.0022249556457365756,1.0970707808651731E-4,0.0021152275035274154,-0.023225906412617493,-7.345364920210326E-25
2014-10,2014,10,3.440163970385238E-4,0.013823742919750158,0.011079292957173479,0.002744432812404476,-0.03826028951062179,1.762898410640569E-5
2014-11,2014,11,0.004676997303412926,0.016504868881612945,0.01202705633696609,0.004477814137589133,-0.032555704381023565,8.959607003114679E-4
2014-12,2014,12,0.011871145996428136,0.0102709887015848,0.005011244805248594,0.005259742648553257,-0.020491200988376673,0.0022908130775002723
2015-01,2015,1,0.03443724837020662,0.02011710925166559,0.008131426370507363,0.011985681866304413,-0.015938757634730245,0.026226981594698204
2015-02,2015,2,0.03180464474449788,0.03609961487151719,0.009605208119066537,0.026494410914775647,-0.026452121642404097,0.028049649874361635
2015-03,2015,3,0.03372093348076413,0.06997040382570181,0.02030791288881169,0.049662490529909814,-0.05312098927954317,0.02242966504171273
2015-04,2015,4,0.021434607448127772,0.0797172158269286,0.010229779323493672,0.06948743482179934,-0.08515539377243621,0.0048313579383675075
2015-05,2015,5,5.628553092952044E-4,0.03762015553177877,0.0013022769603494278,0.03631787479433861,-0.10072032605109098,5.789851375646422E-5
2015-06,2015,6,3.7140024648605815E-9,0.015987849434544132,3.627384737044829E-5,0.01595154996482015,-0.06674386188587036,-7.345364920210326E-25
2015-07,2015,7,5.626662111130395E-9,0.008007597655907653,3.4939018636362925E-5,0.007972616100661266,-0.05082455688223543,-7.345364920210326E-25
2015-08,2015,8,3.9538614108479E-9,0.004348685434972157,5.766163234429999E-5,0.004290996777550593,-0.03684236033443493,-7.345364920210326E-25
2015-09,2015,9,3.777802356042915E-9,0.002688289551971349,9.042910005246752E-5,0.0025978419181103035,-0.02847601716449331,-7.345364920210326E-25
2015-10,2015,10,1.2443013027795744E-7,0.015014472230556578,0.011851265892651525,0.003163201784360928,-0.033453504766394304,5.672796174510331E-9
2015-11,2015,11,0.0033336983667184676,0.021699560862790068,0.01419124737414339,0.007508301665195494,-0.032608919926140026,3.6836872963987575E-4
2015-12,2015,12,0.018684825256831877,0.019910712543578853,0.009237138765429826,0.010673566915206302,-0.016858776365400126,0.009804180035306085
2016-01,2016,1,0.0436977170943874,0.09014885360163627,0.026063837084410593,0.06408501378895042,-0.012416121859938586,0.07828880706053651
2016-02,2016,2,0.05660336017700399,0.08538887000200907,0.016122728259378872,0.06926613740773752,-0.02498559406657894,0.0854334926382373
2016-03,2016,3,0.04890349698252507,0.14928047119054794,0.03581832860392785,0.11346214417068128,-0.04807882762716637,0.03647181982617668
2016-04,2016,4,0.030612137562931838,0.12875597086978022,0.016283637613462593,0.11247233791546063,-0.08327411258458899,0.01279624970740801
2016-05,2016,5,6.514599235832718E-4,0.044303370710920026,9.253164964031696E-4,0.04337803850171701,-0.09570865653544303,7.611210260518473E-5
2016-06,2016,6,7.219926650555292E-9,0.017715977071953465,2.1861962128953919E-4,0.017497336530691958,-0.06890708631253299,-7.345364920210326E-25
2016-07,2016,7,6.968851236251235E-9,0.008713558473983057,1.1578432541148877E-5,0.008701935424171168,-0.05054299541811995,-7.345364920210326E-25
2016-08,2016,8,3.780895973804938E-9,0.004612773898930502,5.3413100484757674E-6,0.004607387452525359,-0.03735066161692284,-7.345364920210326E-25
