year,month,NCP,MOI
1980,7,-0.34616113,1.1815811
1980,8,0.54307187,1.2173129
1980,9,0.59569347,1.0097437
1980,10,-0.8563578,-0.13909759
1980,11,0.40555197,-0.5703045
1980,12,-0.38841686,0.55797493
1981,1,-0.15268365,1.6540384
1981,2,0.02458775,-0.13957542
1981,3,-0.25610924,-0.40442508
1981,4,1.1335979,-0.67131525
1981,5,-0.59901965,-0.29786426
1981,6,-0.6410168,0.7883533
1981,7,-0.59962523,1.7732689
1981,8,0.05613482,1.1350315
1981,9,-0.09704304,0.64588183
1981,10,-2.1877503,0.043671936
1981,11,-1.6011298e-05,1.3651581
1981,12,-2.32991,-2.208291
1982,1,0.9857915,-0.2559845
1982,2,1.6743376,-0.1066193
1982,3,0.11913586,0.14248538
1982,4,-0.072707295,-0.17660376
1982,5,-0.46036142,0.42690727
1982,6,-0.09683454,0.39220712
1982,7,0.4104178,0.7422546
1982,8,-0.5154954,1.0085694
1982,9,-0.059873104,0.4943375
1982,10,0.17985143,-0.40864307
1982,11,-0.43727028,-0.42826164
1982,12,-0.6834774,0.029689074
1983,1,1.0603096,2.6055055
1983,2,0.6219727,-0.9203732
1983,3,0.19939631,0.03953761
1983,4,-2.0576715,-1.0538579
1983,5,-1.1024475,-0.04882312
1983,6,0.16358268,0.45094904
1983,7,0.6513027,0.48389125
1983,8,1.2631845,0.64661586
1983,9,0.25044936,0.80204314
1983,10,0.5643252,0.9174107
1983,11,1.6287732,-1.0129286
1983,12,0.35235584,-0.54427683
1984,1,-2.0290337,0.078021765
1984,2,-0.30899733,-0.1833303
1984,3,-0.9747778,-0.613081
1984,4,0.5629943,-0.62834346
1984,5,-0.6918349,-1.335433
1984,6,-0.13983256,0.7764351
1984,7,-0.14522338,1.4653685
1984,8,0.86600757,0.86172026
1984,9,-0.47480056,-0.05100915
1984,10,0.35391515,0.38019353
1984,11,-0.11948937,-1.8263415
1984,12,0.21210241,0.22506726
1985,1,-0.33338857,-1.1981113
1985,2,1.009882,-0.27499616
1985,3,-0.9321847,-0.56592
1985,4,-0.2160654,-0.35784236
1985,5,0.035599574,-0.7019964
1985,6,-0.7559127,0.27579063
1985,7,0.29760027,0.9908774
1985,8,-1.1298239,1.4383346
1985,9,0.33651507,1.1552192
1985,10,2.311172,0.30343968
1985,11,-0.772508,-1.3461772
1985,12,0.06274134,-0.20546651
1986,1,-1.0332291,-0.33373123
1986,2,0.06663036,-2.3692038
1986,3,-0.8495238,-0.09380013
1986,4,-2.0233612,-0.7397813
1986,5,-0.13878983,0.3274274
1986,6,0.5917798,0.5326183
1986,7,0.27144915,1.0476065
1986,8,-0.50001454,0.49996042
1986,9,0.813081,0.59755826
1986,10,0.46925607,0.17664644
1986,11,-0.334252,0.6519379
1986,12,0.8272907,0.990414
1987,1,1.5603153,-1.679782
1987,2,0.050442636,-1.0827961
1987,3,-0.8514775,0.22495303
1987,4,1.15819,-0.3436996
1987,5,-0.6729659,-0.079982504
1987,6,-1.7059467,0.49592078
1987,7,-0.08529127,0.7012117
1987,8,-0.10179055,0.4814688
1987,9,0.65397304,0.62926185
1987,10,-1.119993,-0.7194021
1987,11,0.7211032,-0.8461652
1987,12,1.5375412,-0.3848657
1988,1,-0.8789271,-0.81597096
1988,2,-1.4743892,0.32391995
1988,3,-1.512042,0.15733904
1988,4,-0.098227374,-0.64914906
1988,5,-0.1406548,-0.9549039
1988,6,-0.1839701,-0.063126445
1988,7,-1.2965522,1.6197356
1988,8,-0.68992096,0.8393567
1988,9,0.024338901,0.96671224
1988,10,0.093178004,-0.3703586
1988,11,1.5827782,-0.8506715
1988,12,1.6344298,1.3863456
1989,1,2.7146683,1.5363061
1989,2,0.37839544,0.28184187
1989,3,-1.1031755,0.05491361
1989,4,-0.7686385,-1.3102114
1989,5,0.46111274,-0.28879523
1989,6,-0.94779813,0.23017576
1989,7,-0.02716875,1.2726223
1989,8,0.022463739,0.52538085
1989,9,0.71378654,0.020594
1989,10,0.78365177,0.34143823
1989,11,0.29181984,-1.4129512
1989,12,0.82155794,-1.7437478
1990,1,0.8050725,0.5590265
1990,2,-1.0393511,1.2335817
1990,3,1.6854682,1.2635851
1990,4,-0.538537,-0.4477553
1990,5,0.71638334,0.12959754
1990,6,-0.59426284,0.13024417
1990,7,0.36142206,1.4951043
1990,8,0.48925662,1.2678385
1990,9,0.25734633,0.36070377
1990,10,0.6708688,-1.0140188
1990,11,0.695752,-0.88092244
1990,12,-0.027581215,-0.5543413
1991,1,1.49137,0.78247106
1991,2,-0.08920342,-0.85791886
1991,3,0.7607242,-1.5657966
1991,4,-1.4749842,0.09771085
1991,5,-0.09209275,-0.079687834
1991,6,-1.8723013,0.80713093
1991,7,0.49053395,0.89637077
1991,8,1.040694,1.0763617
1991,9,0.69502294,-0.09146114
1991,10,-0.56093717,-0.5410315
1991,11,-1.0161057,-0.29104453
1991,12,2.200243,1.8582032
1992,1,3.1182418,0.5122812
1992,2,1.2609447,1.2939798
1992,3,-0.50886095,-0.30076945
1992,4,-0.5609698,-0.7687505
1992,5,0.57622755,0.2342889
1992,6,0.85719866,0.047021985
1992,7,0.20626569,1.2124455
1992,8,-0.3296208,1.0729928
1992,9,-0.61129826,0.7855741
1992,10,-0.32646042,-1.7627362
1992,11,-0.48164454,0.92199004
1992,12,0.47943252,-0.81157464
1993,1,0.9708714,1.6292903
1993,2,2.5601463,0.42833412
1993,3,1.3127545,-0.14221436
1993,4,-0.19031498,-0.7108696
1993,5,-0.05908525,-0.6121402
1993,6,0.33981377,0.5164236
1993,7,-0.8254035,1.2670857
1993,8,-0.081787705,1.0413145
1993,9,0.66012836,-0.36934543
1993,10,0.36965513,-1.0090269
1993,11,0.74966943,-0.8494032
1993,12,-1.3396268,0.2937008
1994,1,-0.62273276,0.49096042
1994,2,1.3185457,-1.392703
1994,3,-0.31424928,0.81315225
1994,4,-1.1168861,-0.04121062
1994,5,-0.33880842,-0.5006393
1994,6,-0.0069895983,1.2640492
1994,7,1.449316,1.041874
1994,8,-0.036135077,0.5848569
1994,9,-0.692809,-0.08764088
1994,10,-0.5999477,-0.45370504
1994,11,1.6335248,0.75374013
1994,12,0.43868202,0.24915886
1995,1,-1.1771235,0.18792081
1995,2,-0.7763825,0.29348624
1995,3,-1.4979353,-0.46690285
1995,4,-0.8309753,-0.13579407
1995,5,-0.8680808,-0.14248985
1995,6,-0.040756226,-0.068042755
1995,7,0.34346175,0.9375951
1995,8,1.24805,0.5007978
1995,9,-0.61604345,-0.12506351
1995,10,1.0738914,0.5901852
1995,11,0.46334875,-1.0803156
1995,12,1.2387531,-2.3504083
1996,1,0.3061806,-2.467185
1996,2,-0.5459409,-0.9951334
1996,3,-0.112344995,-1.0710039
1996,4,0.45002872,-0.7025113
1996,5,-1.1674304,-0.21456662
1996,6,-0.041573286,1.1975589
1996,7,-0.28386593,1.3194189
1996,8,0.085279465,0.48991883
1996,9,1.0202589,-0.5148019
1996,10,0.24328011,-0.027226865
1996,11,-2.0723026,-0.46517453
1996,12,0.4785108,-2.8337655
1997,1,2.895332,-1.2640519
1997,2,0.3842777,1.1376805
1997,3,1.4280258,1.5166364
1997,4,0.43594092,-0.41314918
1997,5,-0.13507947,-0.6911059
1997,6,-1.0717511,-0.4221462
1997,7,0.32338822,0.9909476
1997,8,0.9205769,0.33241695
1997,9,0.8528584,0.24263608
1997,10,0.19151986,-0.62699807
1997,11,-0.476901,-1.8304641
1997,12,0.6072858,-1.4113139
1998,1,0.11584556,-0.379883
1998,2,2.663575,1.0115288
1998,3,0.18682165,1.0310256
1998,4,-0.76347256,-1.2522813
1998,5,0.23170227,-0.6375983
1998,6,-1.251704,0.4354151
1998,7,-1.1051238,1.0616646
1998,8,0.06613541,1.2453077
1998,9,0.0878275,-0.40200537
1998,10,-0.66247576,0.38527924
1998,11,0.4598065,-0.15653163
1998,12,0.40232575,0.11027789
1999,1,-0.36488903,-0.25893152
1999,2,-0.13196707,0.13945019
1999,3,0.11147332,-1.0024858
1999,4,-0.31349254,-0.5657452
1999,5,0.64354074,-0.36160114
1999,6,-0.37488484,0.8354037
1999,7,0.20940042,0.86874187
1999,8,-0.30750608,0.17322636
1999,9,0.43925577,-0.28449905
1999,10,-0.17658806,-0.28745073
1999,11,1.4554808,-0.47526193
1999,12,-1.4034474,-0.08261871
2000,1,1.4126058,0.9526253
2000,2,0.40299308,1.3571762
2000,3,0.7364383,-0.27534282
2000,4,-1.3885908,-1.403996
2000,5,0.8135808,-0.18575445
2000,6,-0.14227194,1.4394262
2000,7,-0.7509222,0.9651252
2000,8,0.18002117,1.1659086
2000,9,0.40729836,0.049498796
2000,10,-0.7066125,-0.56843567
2000,11,-2.2387552,-1.1015475
2000,12,-0.25181007,-1.1378942
2001,1,-0.14845979,-1.4778544
2001,2,0.77950466,0.028109193
2001,3,-0.9031634,-0.98902035
2001,4,-1.62661,0.14754763
2001,5,0.28414035,0.09219733
