snow,driver,n,r_pearson,p_pearson,r_detrended,p_detrended,r_spearman,p_spearman,family,q_pearson,sig_pearson,q_detrended,sig_detrended
sle_mean,snowfall_ondjfm,24,-0.6722270237166734,0.00028092180692232394,-0.5990718149346135,0.001959112644601452,-0.5678260869565217,0.003479209417398381,climate,0.002600811562785156,True,0.013154042042324034,True
sle_mean,snowfall_fraction_ondjfm,24,-0.6555552301779406,0.0004662273051892353,-0.5733147031627147,0.0041037935391534395,-0.6330434782608695,0.000834330873929595,climate,0.003895588150025611,True,0.021349165589575607,True
sle_mean,pdd_ondjfm,24,0.673790036368016,0.00032902722515805373,0.5972430615343338,0.007278164172463152,0.6478260869565217,0.0006605753533808783,climate,0.002877075271149493,True,0.03378505838081661,True
sle_mean,isotherm0_m_djfm,24,0.7211875716193761,7.641749889079942e-05,0.6686940363999906,0.0014942045879723525,0.8417391304347825,2.9315493805922266e-07,climate,0.0011972074826225242,True,0.010804248559184703,True
sle_mean,swe_max,24,-0.5995240667530988,0.0017734992842564352,-0.5515096775757099,0.0036185629341596165,-0.5643478260869564,0.0037309581203171334,climate,0.011497167773800339,True,0.01971854584411617,True
sle_mean,NAO_ONDJFM,24,-0.20137638065264166,0.34174329499952216,-0.409037086255742,0.043874840202890134,-0.1660869565217391,0.43450973640921964,circulation,0.5921450641466375,False,0.13522081898595648,False
sle_mean,EA_ONDJFM,24,0.172360393937363,0.4192805432842407,0.12022068642007089,0.5694650376159162,0.12,0.5754003304674395,circulation,0.6561045223853437,False,0.7589316814017301,False
sle_mean,WP_ONDJFM,24,0.2928719338544008,0.1576674607169939,0.09663351104252535,0.6364798325351649,0.18347826086956517,0.38261536798870843,circulation,0.37198869555557984,False,0.7997087620465522,False
sle_mean,EAWR_ONDJFM,24,-0.3280445774089179,0.11383005594010985,-0.4509143687160785,0.016059656401022446,-0.3478260869565217,0.09241507782909629,circulation,0.29517311057573314,False,0.05978644363152911,False
sle_mean,SCAND_ONDJFM,24,0.39721339222234076,0.05959837356278311,0.5634860876379244,0.016029998074872404,0.5347826086956522,0.008317804427231144,circulation,0.1948607692139691,False,0.05978644363152911,False
sle_mean,POL_ONDJFM,24,-0.18252240145110832,0.3967161988365636,-0.11856163626211866,0.6103434965910599,-0.1591304347826087,0.46089883871067217,circulation,0.6561045223853437,False,0.7844612387984489,False
sle_mean,AO_ONDJFM,24,-0.3206577028629583,0.13073418034349638,-0.5234796392091259,0.021184079240131094,-0.38,0.07000663183699349,circulation,0.32339507769180686,False,0.07507214916227002,False
sle_mean,NINO34_ONDJFM,24,-0.11126126091314228,0.6052943018388477,-0.16558785663587705,0.4434400903345065,-0.05652173913043478,0.7933740259564577,circulation,0.7656038929055694,False,0.6616407697054542,False
sle_mean,DMI_ONDJFM,24,0.13740776217855377,0.5193355795738346,-0.11954755774631018,0.5925551268693361,0.08608695652173912,0.6872946093105285,circulation,0.6924255289692474,False,0.7682783713892082,False
sle_mean,AMO_ONDJFM,23,0.032732206906350314,0.8816077074495556,-0.16077310480188098,0.4692593112422083,-0.07509881422924902,0.7322812071282093,circulation,0.9335527352230398,False,0.683646765154962,False
sle_mean,NCP_ONDJFM,24,-0.6628293448119049,0.0004828241243004584,-0.7331788009949234,0.00020583559207515553,-0.6721739130434782,0.0003745432135034132,circulation,0.0039465624073254865,True,0.0031900050473513664,True
sle_mean,MOI_ONDJFM,24,-0.47135516045384146,0.020381472425733935,-0.5839806645506065,0.0034260521123626693,-0.5634782608695652,0.004235218474201247,circulation,0.08910969339623209,False,0.018944052856593584,True
sle_mean,NAO_DJF,24,-0.14999598430733013,0.4794003154616999,-0.38253110640709564,0.05502594935970594,-0.09043478260869564,0.6709296761180055,circulation,0.6889054879382637,False,0.16073616750482378,False
sle_mean,EA_DJF,24,0.10351421647709161,0.6297321942973366,0.0551875836371116,0.7959599904733253,0.03826086956521739,0.8588960657761641,circulation,0.7769068179871753,False,0.8700027802847975,False
sle_mean,WP_DJF,24,0.2680140981493244,0.20007142272346065,0.14195882523797498,0.4829305479753083,0.2478260869565217,0.23738174274575338,circulation,0.43483731181515145,False,0.693060633735557,False
