snow,index,n,r_simple,p_simple,r_partial,p_partial,attenuation,q_partial,sig_partial
sle_mean,EA_SON,24,0.30134724091304443,0.15322215325835828,0.06423579850914622,0.7764113591168436,0.2371114424038982,0.9719783445134552,False
sle_mean,WP_SON,24,-0.14549341552929004,0.5017099703880652,-0.19361227735094955,0.38795897390393064,-0.0481188618216595,0.9719783445134552,False
sle_mean,EAWR_SON,24,-0.3623888290542326,0.08641926774863556,-0.0014242454827091914,0.9949810734347322,0.3609645835715234,0.9991570768682322,False
sle_mean,SCAND_SON,24,0.35263681921559853,0.09303028956979491,0.390154979865995,0.07264029051416403,-0.03751816065039648,0.9476057848447951,False
sle_mean,POL_SON,24,0.040461301139208275,0.8483631758078306,0.13991058470316356,0.5346000291954021,-0.09944928356395528,0.9719783445134552,False
sle_mean,AO_SON,24,-0.03628953919618663,0.8698911724142421,-0.049179835049191885,0.8279433996834421,-0.012890295853005253,0.9719783445134552,False
sle_mean,NINO34_SON,24,-0.13686649117520877,0.5248438185006263,-0.34015879455166553,0.12139022940253828,-0.20329230337645676,0.9476057848447951,False
sle_mean,DMI_SON,24,-0.12089394155315401,0.5755702810202378,-0.1143333155862508,0.6124114741086163,0.006560625966903211,0.9719783445134552,False
sle_mean,AMO_SON,23,0.21263534909220957,0.3243028693232217,0.11532337053460272,0.618636295721996,0.09731197855760686,0.9719783445134552,False
sle_mean,NCP_SON,24,-0.5002437273401201,0.013776371480795432,-0.1573960220643437,0.48421530228113585,0.34284770527577646,0.9719783445134552,False
sle_mean,MOI_SON,24,-0.14206018365149994,0.5184875780934455,-0.32028883344039266,0.14616751202429135,-0.17822864978889272,0.9476057848447951,False
sle_djfm,NAO_ONDJFM,24,-0.11248730711866597,0.6067818087389885,0.33576159723760585,0.12659207911127282,-0.22327429011893987,0.9476057848447951,False
sle_djfm,EA_ONDJFM,24,0.1776879679321485,0.40912098189675905,0.06172679424474105,0.7849422237544543,0.11596117368740745,0.9719783445134552,False
sle_djfm,WP_ONDJFM,24,0.4872587873863795,0.02009582606292532,0.3764690703162265,0.08418275417367965,0.110789717070153,0.9476057848447951,False
